Data,ListaOspiti,Conduttore,Show
13/06/2024,"Elly Schlein, Michele Serra, Alessandra Sardoni, Paolo Mieli, Antonio Padellaro, Mario Calabresi, Francesco Cancellato, Marco Furfaro, Italo Bocchino, Donatella Di Cesare, Francesco Giubilei, Daniela Preziosi, Stefano Massini, Tonia Mastrobuoni, Gilles Gressani",Corrado Formigli,Piazza Pulita
03/06/2024,"Elly Schlein, Giuseppe Conte, Tito Boeri, Tomaso Montanari, Alessandra Sardoni, Paolo Milei, Francesco Specchia, Alessandro De Angelis, Ignazio Marino, Dario Nardella, Michela Ponzani, Chiara Appendino, Stefano Massini, Fabio Dragoni, Luca Beatrice",Corrado Formigli,Piazza Pulita
16/05/2024,"Antonio Tajani, Raffaele Cantone, Michele Serra, Selvaggia Lucarelli, Antonio Padellaro, Donatella Di Cesare, Francesco Specchia, Alessandro Cattaneo, Roberto Zaccaria, Chiara Appendino, Stefano Massini, Renato Mannheimer, Ferruccio Sansa, Armando Spataro, Clemente Mastella",Corrado Formigli,Piazza Pulita
09/05/2024,"Roberto Saviano, Alessandra Sardoni, Tito Boeri, Francesca Albanese, Nadia Urbinati, Fabio Dragoni, Raffaella Paita, Sandro Ruotolo, Giorgio Mulè, Vittorio Di Trapani, Maurizio Mannoni, Stefano Massini, Renato Mannheimer, Gherardo Colombo, Giuseppe Santalucia, Renate Schroeder, Ignazio Marino, Bruno Socillo, Ferruccio Sansa, Giampiero Massolo",Corrado Formigli,Piazza Pulita
25/04/2024,"Elly Schlein, Teresa Vergalli, Michele Santoro, Tomaso Montanari, Mario Calabresi, Gilda Sportiello",Corrado Formigli,Piazza Pulita
18/04/2024,"Antonio Tajani, Lilli Gruber, Michele Serra, Monica Guerritore, Gianrico Carofiglio, Matteo Renzi, Carmen Lasorella, Vittoria Baldino, Dario Nardella, Alessandro Gonzato, Alessandro De Angelis, Stefano Massini, Renato Mannheimer, Paola Caridi, Francesco Giubilei, Clementa Mastella, Aldo Schiavone",Corrado Formigli,Piazza Pulita
11/04/2024,"Federico Cafiero De Raho, Maurizio Landini, Paolo Mieli, Luciano Canfora, Barbara Floridia, Nadia Urbinati, Francesco Specchia, Alberto Nerazzini, Clemente Mastella, Chiara Gribaudo, Alessandro Cattaneo, Roberto Zaccaria, Stefano Cappellini, Salvatore Gulisano, Stefano Massini, Renato Mannheimer, Carlo Rossella",Corrado Formigli,Piazza Pulita
04/04/2024,"Romano Prodi, Michele Serra, Ignazio Marino, Mario Calabresi, Carmen Lasorella, Fabio Dragoni, Alberto Nerazzini, Luca Beatrice, David Parenzo, Claudio Tongiorgi, Marta Canuto, Alessandra Moretti, Angelo Bonelli, Davide Tabarelli, Stefano Massini, Renato Mannheimer, Massimo Degli Esposti, Pier Luigi Pellegrini, Alessandra Algostino",Corrado Formigli,Piazza Pulita
21/03/2024,"Antonio Decaro, Michele Serra, Paolo Virzì, Antonio Padellaro, Annamaria Bernardini De Pace, Marwa Mahmoud, Alessandro Cattaneo, Christian Raimo, Paolo Romano, Francesco Giubilei, Ginevra Bompiani, Barbara Alberti, Francesco Cancellato, Dario Nardella, Stefano Massini, Tonia Mastrobuoni, Renato Mannheimer",Corrado Formigli,Piazza Pulita
14/03/2024,"Romano Prodi, Tito Boeri, Barbara Alberti, Vittorio Emanuele Parsi, Federico Rampini",Corrado Formigli,Piazza Pulita
07/03/2024,"Elly Schlein, Alessandra Todde, Michele Serra, Nello Trocchia, Luca Telese, Fabio Dragoni, Francesco Specchia, Alessandro De Angelis, Sara Giudice, Paolo Romano, Giorgio Mulè, Gabriele Pedullà, Giulia Mingozzi, Stefano Massini, Renato Mannheimer",Corrado Formigli,Piazza Pulita
29/02/2024,"Alessandra Todde, Stefano Bonaccini, Gianrico Carofiglio, Massimo Giannini, Tomaso Montanari, Alessandro Cattaneo, Elisabetta Gualmini, Christian Raimo, Alessandro De Angelis, Fabio Dragoni, Gian Micalessin, Antonio Padellaro, Francesco Specchia",Corrado Formigli,Piazza Pulita
22/02/2024,"Vera Politkovskaya, Michele Serra, Tito Boeri, Tomaso Montanari, Marianna Aprile, Donatella Di Cesare, Fabio Dragoni, Francesco Specchia, Mario Calabresi, Giorgio Mulè, Vittoria Baldino, Ismaele La Vardera, Stefano Massini, Renato Mannheimer, Federico Rampini, Francesco Giubilei ",Corrado Formigli,Piazza Pulita
15/02/2024,"Romano Prodi, Selvaggia Lucarelli, Francesca Albanese, Maria Elena Boschi, Roberto Salis, Emiliano Fittipaldi, Antonio Di Bella, Italo Bocchino, Salvatore Cuffaro, Nello Trocchia, Vittoria Baldino, Ismaele La Vardera, Stefano Massini, Renato Mannheimer",Corrado Formigli,Piazza Pulita
01/02/2024,"Nino Di Matteo, Michele Serra, Paolo Mieli, Tomaso Montanari, Tonia Mastrobuoni, Francesco Borgonovo, Alessandra Moretti, Alessandro Cattaneo, Vittoria Baldino, Diego Fusaro, Fabiano Mazzotti, Stefano Massini, Renato Mannheimer, Sergio Barbieri, Chiara Proietti D'Ambra",Corrado Formigli,Piazza Pulita
25/01/2024,"Maurizio Molinari, Carlo Calenda, Chiara Appendino, Roberto Occhiuto, Marianna Aprile, Fabio Dragoni, Tonia Mastrobuoni, Antonio Padellaro, Francesco Specchia",Corrado Formigli,Piazza Pulita
18/01/2024,"Michele Serra, Matteo Renzi, Tito Boeri, Michela Ponzani, Federico Rampini, Mario Calabresi, Roberto Salis, Fabio Dragoni, Marwa Mahmoud, Stefano Allievi, Kamrul Hasan Bhuiyan Sani, Stefano Massini, Renato Mannheimer, Luigi Crespi, Gian Micalessin",Corrado Formigli,Piazza Pulita
