ListaOspiti,Count
Italo Bocchino,46
Elisabetta Piccolotti,37
Alessandro Di Battista,35
Luca,34
Paolo,34
Marco Travaglio,32
Massimo Giannini,28
Francesco Giubilei,26
Stefano Massini,24
Alessandro Cattaneo,24
Donatella Di Cesare,23
Antonio Di Bella,22
Massimo Magliaro,22
Francesco Specchia,21
Renato Mannheimer,20
Paolo Mieli,20
Bruno Tabacci,20
Lucio Caracciolo,19
Andrea Pennacchi,19
Michele Santoro,19
Filippo Ceccarelli,18
Stefano Zurlo,18
Paolo Celata,18
Francesca Schianchi,18
Mauro Mazza,18
Carlo Calenda,17
Anna Falcone,16
Andrea Scanzi,16
David Parenzo,16
Antonio Padellaro,16
Fabio Dragoni,16
Alessandro De Angelis,16
Achille Totaro,16
Dario Nardella,16
Francesco Storace,16
Lina Palmerini,15
Constanze Reuscher,15
Matteo Ricci,15
Eliana Como,15
Giorgio Mulè,14
Michele Serra,14
Mariella Stella,14
Tomaso Montanari,14
Elly Schlein,14
Mario Sechi,13
Maurizio Landini,13
Antonio Caprarica,12
Sabina Guzzanti,12
Corrado Augias,12
Massimo Cacciari,12
Pierluigi Bersani,12
Monica Guerzoni,12
Nando Pagnoncelli,12
Evelina Christillin,12
Elsa Fornero,11
Brunella Bolloli,11
Maurizio Mannoni,11
Aldo Cazzullo,10
Carlo Rossella,10
Andrea Mancia,10
Emmanuela Bertucci,10
Lella Costa,9
Chiara Giannini,9
Giacomo Mameli,9
Federico Rampini,9
Dario Laruffa,9
Tito Boeri,9
Massimo Corsaro,9
Francesca Mannocchi,8
Valerio Aprea,8
Chiara Appendino,8
Vittoria Baldino,8
Francesco Borgonovo,8
Roberto Salis,8
Marco Furfaro,7
Emiliano Fittipaldi,7
Paolo Romano,7
Ileana Como,7
Mariolina Sattanino,7
Suor Paola Arosio,7
Barbara Floridia,7
Alessandra Moretti,7
Alessandro Zan,7
Nadia Urbinati,6
Romano Prodi,6
Pier Luigi Bersani,6
Sergio Rizzo,6
Paola Tommasi,6
Ginevra Bompiani,6
Stefano Bonaccini,6
Mario Calabresi,6
Michela Ponzani,6
Marianna Aprile,6
Alessandra Todde,6
Beppe Severgnini,6
Marta Bonafoni,5
Alessandra Sardoni,5
Gianni Scipione Rossi,5
Alessandro Giuli,5
Massimo Gramellini,5
Stefano Toti,5
Filippo La Porta,5
Ascanio Celestini,5
Giuseppe Conte,5
Emanuele Trevi,5
Camilla Conti,5
Luca Telese,4
Pierferdinando Casini,4
Marco Antonellis,4
Andrea Malaguti,4
Tonia Mastrobuoni,4
Giuliano Guida Bardi,4
Salvo Di Paola,4
Selvaggia Lucarelli,4
Edward Luttwak,4
Rosi Braidotti,4
Matteo Renzi,4
Maurizio Molinari,4
Roberto Zaccaria,4
Costanze Reuscher,4
Flavio Tosi,4
Pietro Senaldi,4
Marta Collot,4
Licia Ronzulli,4
Stefano Meloccaro,4
Marino Sinibaldi,4
Francesca Cavallo,4
Raffaele Nevi,4
Claudia Conte,4
Giovanni Floris,4
Barbara Gallavotti,4
Corrado Formigli,4
Gian Micalessin,3
Luciano Canfora,3
Annalisa Chirico,3
Franco Bernabè,3
Piercamillo Davigo,3
Alberto Nerazzini,3
Raffaello Lupi,3
Vittoria Morrone,3
Marcello Fois,3
Riccardo Magi,3
Marcello Sorgi,3
Gianrico Carofiglio,3
Roberto Napoletano,3
Marco Minniti,3
Maria Rachele Ruiu,3
Carlotta Vagnoli,3
Annalisa Terranova,3
Antonio Scurati,3
Carolina Capria,3
Milena Gabanelli,3
Cathy La Torre,3
Chiara Gribaudo,3
Stefano Bandecchi,3
Christian Raimo,3
Clara Mattei,3
Silvia Sciorilli Borrelli,3
Benedetta Scuderi,3
Tahnee Rodriguez,3
Nello Trocchia,3
Daniela Patti,3
Daniela Preziosi,3
Antonio Tajani,3
Nicola Gratteri,3
Ignazio Marino,3
Carmen Lasorella,3
Antonella Attili,3
Sebastiano Barisoni,3
Luca Josi,3
Giuseppe Santalucia,3
Paolo Galdieri,3
Paolo Di Paolo,3
Mille,2
Raffaella Paita,2
Le Feste Antonacci,2
Maria Elena Boschi,2
Marwa Mahmoud,2
Lilli Gruber,2
Paolo Virzì,2
Manuela Donghi,2
Frida Giannini,2
Monica Guerritore,2
Laura Del Santo,2
Pietro Orlandi,2
Lucia Annunziata,2
Giorgio Parisi,2
Gianfranco Rotondi,2
Paola Caridi,2
Piero Dorfles,2
Lina Simons,2
Maura Gancitano,2
Giorgia Serughetti,2
Ismaele La Vardera,2
Luca Beatrice,2
Michel Martone,2
Giulia Innocenzi,2
suor Paola Arosio,2
Angelo D'Orsi,2
Beatrice Lorenzin,2
Don Luigi Ciotti,2
Fabrizio Roncone,2
Francesco Delzio,2
Roberto Saviano,2
Alessandro Sallusti,2
Annamaria Bernardini De Pace,2
Sigfrido Ranucci,2
Roberto Speranza,2
Amal Khayal,2
Sandro Ruotolo,2
Valeria Fonte,2
Clemente Mastella,2
Roberto Vecchioni,2
Tosca,2
Rosy Bindi,2
Elly Shlein,2
Barbara Alberti,2
Armando Spataro,2
Angelo Bonelli,2
Vinicio Capossela,2
Simona Colarizi,2
Anna Bonalume,2
Francesco Cancellato,2
Francesca Vidali,2
Chantal Meloni,2
Renato Natale,2
Anna Momigliano,2
Sara Giudice,2
Stefano Allievi,2
Francesca Albanese,2
Flavio Fusi,2
Vittorio Sgarbi,2
Bruno Vespa,2
Riccardo Milani,2
Flavia Perina,2
Flavia Carlini,2
Ferruccio Sansa,2
Claudia Svampa,2
Bruno Socillo,2
Serena Bortone,2
Renate Schroeder,1
Tiziana Ferrario,1
Tommaso Cerno,1
Michele Ainis,1
Tiziana Cignarelli,1
Tiare Gatti Mora,1
Michela Marzano,1
Michela Mercuri,1
Michele Emiliano,1
Teresa Vergalli,1
Subsonica,1
Michele Riondino,1
Stefano Graziano,1
Tommaso Della Longa,1
Matteo Mancuso,1
Tommaso Fabbri,1
Tommaso Giartosio,1
padre Enzo Fortunato,1
Marta Canuto,1
Yuval Noah Harari,1
Walter Veltroni,1
Vittorio Emanuele Parsi,1
Vittorio Di Trapani,1
Vito Procacci,1
Viola Ardone,1
Vinicio Marchioni,1
Vincenzo Pirrotta,1
Massimo Degli Esposti,1
Massimo Franco,1
Veronica De Romanis,1
Vera Politkovskaya,1
Vasco La Salvia,1
Massimo Martinelli,1
Matteo Garrone,1
Toni Green,1
Tommaso Zanella,1
Michele Vietti,1
Matteo Porru,1
Tommaso Montari,1
Matteo Salvini,1
Tommaso Juhasz,1
Maurizio De Giovanni,1
Stefano D'Orsi,1
Mons. Vincenzo Paglia,1
Stefano Cappellini,1
Roberto Occhiuto,1
Paolo Giordano,1
Safwat Kahlout,1
Paolo Milei,1
Sabino Cassese,1
Rodrigo D'Erasmo,1
Paride Vitale,1
Pasquale Tridico,1
Roberto Vannacci,1
Patrizia Carrano,1
Peter Gomez,1
Roberto Seghetti,1
Pier Luigi Pellegrini,1
Roberto Cotroneo,1
Stefano Balassone,1
Roberto Castelli,1
Piero Benassi,1
Roberta Benvenuto,1
Rita Lofano,1
Piero Pelù,1
Pietro Benassi,1
Pino Corrias,1
Raffaele Cantone,1
Renato Soru,1
Raiz,1
Regina De Albertis,1
Renata Polverini,1
Salvatore Attanasio,1
Paolo Genovese,1
Salvatore Cuffaro,1
Salvatore Gulisano,1
Mirella Serri,1
Miriam Falco,1
Moni Ovadia,1
Monica Di Pierri,1
Silvia Borrelli,1
Monica Minardi,1
Moustapha Fall,1
Siegfried Stohr,1
Seydou Sarr,1
Nicola Fratoianni,1
Sergio Castellitto,1
Sergio Barbieri,1
Serena Dandini,1
Serena Brancale,1
Nicola Piovani,1
Nino Di Matteo,1
Oscar Farinetti,1
Sara Menafra,1
Paola Cortellesi,1
Sara Manfuso,1
Paola Turci,1
Paolo Aleotti,1
Sandro Veronesi,1
Paolo Crepet,1
Sananda Maitreya,1
Roberto D'Agostino,1
Achille Occhetto,1
Mariolina Castellone,1
Mario Natangelo,1
Donatella Stasio,1
Donatella Finocchiaro,1
Don Vincenzo Paglia,1
Don Filippo Martoriello,1
Don Beniamino Sacco,1
Diego Fusaro,1
Diego Bianchi,1
Davide Tabarelli,1
Davide Desario,1
David Petraeus,1
Dargen D'Amico,1
Daniele Raineri,1
Daniela Rondinelli,1
Damiano Rizzi,1
Concetto Vecchio,1
Colapesce & Dimartino,1
Clementa Mastella,1
Claudio Tongiorgi,1
Claudio Tito,1
Claudio Cerasa,1
Claudio Bisio,1
Edoardo Purgatori,1
Elda Baggio,1
Elena Basile,1
Fabio Granata,1
Ferruccio De Bortoli,1
Federico Fornaro,1
Federico Dolce,1
Federico Cafiero De Raho,1
Federica Brancaccio,1
Fatoumata Diawara,1
Fabrizio Gatti,1
Fabrizio Barca,1
Fabio Volo,1
Fabiano Mazzotti,1
Elio,1
F.F.F.-French Fonck Federation,1
Ermete Realacci,1
Eric Salerno,1
Enzo Avitabile,1
Emma Ruzzon,1
Emanuele Fiano,1
Emanuela Bertucci,1
Elisabetta Gualmini,1
Elio Germano,1
Chiara Valerio,1
Chiara Saraceno,1
Chiara Proietti D'Ambra,1
Alessandro Genovesi,1
Andrea Prete,1
Andrea Orlando,1
Andea Zhok,1
Alice Merton,1
Alessio Lasta,1
Alessia Morani,1
Alessandro Sansoni,1
Alessandro Rapinese,1
Alessandro Gonzato,1
Alessandro Gassman,1
Andrea Zhok,1
Alessandro Dibattista,1
Alessandro Cassieri,1
Alessandro Barbero,1
Alessandro Barbano,1
Alessandra Algostino,1
Aldo Schiavone,1
Alberto Negri,1
Alba Nabulsi,1
Alan Friedman,1
Andrea Scazzola,1
Angelina Mango,1
Chiara Gibertoni,1
Bendetta Scuderi,1
Caterina Capria,1
Cardinal Matteo Zuppi,1
Candida Morvillo,1
Camila Conti,1
Brando Benifei,1
Blonde Redhead,1
Bianca Tedone,1
Benjamin Clementine,1
Benedetta Orlando,1
Bendetta Orlando,1
Anggun,1
Antonio Talia,1
Antonio Rezza,1
Antonio Polito,1
Antonio Diodato,1
Antonio Decaro,1
Antonella Viola,1
Antonella Bordin,1
Annalisa Corrado,1
Annagaia Marchioro,1
Flavia Trupia,1
Francesca Donato,1
Francesca Fialdini,1
Le Vie dei Canti,1
Luca Bianchi,1
Lorenzo Tosa,1
Loreena Mckennitt,1
Lisa De Pieri,1
Lexus,1
Leonardo Mendolicchio,1
Leonardo Colombati,1
Leonardo Becchetti,1
Leo Gullotta,1
Le Karma B,1
Luca Casarini,1
Laura Pertici,1
Laura Castelli,1
Laura Boldrini,1
Laufey,1
Lara Ghiglione,1
La Rappresentante di Lista,1
Kula Shaker,1
Kamrul Hasan Bhuiyan Sani,1
Judith Hill,1
Luca Bottura,1
Luca Sommi,1
Jannis Varoufakis,1
Marco Bellocchio,1
Mario Lavia,1
Mario Adinolfi,1
Mariana Mazzucato,1
Margherita Vicario,1
Margherita Buy,1
Marcus Miller,1
Marco Valle,1
Marco Mancini,1
Marco D'Amore,1
Marco Alberà,1
Lucia Ronzulli,1
Manuela Repetti,1
Manuela Dviri,1
Mamadou Kouassi,1
Luigi Scordamaglia,1
Luigi Di Maio,1
Luigi Crespi,1
Luigi Contu,1
Ludina Barzini,1
Luciana Castellina,1
Jean René Bilongo,1
Jacopo Intini,1
Francesca Reggiani,1
Giacomo Lasorella,1
Gigliola Cinguetti,1
Gianni Alemanno,1
Gianna Fregonara,1
Gianluigi Paragone,1
Gianluca Verzelli,1
Gianluca Spadoni,1
Gianfranco Pasquino,1
Gianfranco Massolo,1
Giampiero Massolo,1
Gherardo Colombo,1
Gilles Gressani,1
Gennaro Sicolo,1
Gaetano Azzariti,1
Gabriella Greyson,1
Gabriele Pedullà,1
Gabriel Garcia Bernal,1
Fulvio Giuliani,1
Franco Bernini,1
Francesco Prudenzano,1
Francesca Romana D'Antuono,1
Gilda Sportiello,1
Gioele Dix,1
Izzeddin Elzir,1
Goffredo Bettini,1
I Tenores di Neoneli,1
I Tenores di Bitti,1
I Hate My Village,1
Hanan Asharawi,1
Guido Crosetto,1
Guendalina Anzolin,1
Graziano Lorenzetti,1
Goumar Almoctar ‘Bombino’,1
Goffredo Buccini,1
Giuseppe Mazzei,1
Giorgio Gori,1
Giuliano Amato,1
Giulia Stringhini,1
Giulia Mingozzi,1
Giovanni Toti,1
Giovanni Orsina,1
Giovanni Grasso,1
Giovanni Di Lorenzo,1
Giovanni Benincasa,1
Giorgio Manzi,1
Johnny Palomba,1
