Show,ListaOspiti,Count
Propaganda Live,Andrea Pennacchi,19
Propaganda Live,Filippo Ceccarelli,18
Propaganda Live,Francesca Schianchi,18
Propaganda Live,Paolo Celata,18
Propaganda Live,Constanze Reuscher,14
Propaganda Live,Sabina Guzzanti,10
Propaganda Live,Francesca Mannocchi,8
Propaganda Live,Valerio Aprea,8
Propaganda Live,Costanze Reuscher,4
Propaganda Live,Salvo Di Paola,4
Propaganda Live,Antonella Attili,3
Propaganda Live,Tahnee Rodriguez,3
Propaganda Live,Amal Khayal,2
Propaganda Live,Don Luigi Ciotti,2
Propaganda Live,Giorgio Parisi,2
Propaganda Live,Le Feste Antonacci,2
Propaganda Live,Lina Simons,2
Propaganda Live,Mille,2
Propaganda Live,Renato Natale,2
Propaganda Live,Alice Merton,1
Propaganda Live,Angelina Mango,1
Propaganda Live,Anggun,1
Propaganda Live,Annagaia Marchioro,1
Propaganda Live,Antonio Diodato,1
Propaganda Live,Antonio Rezza,1
Propaganda Live,Antonio Scurati,1
Propaganda Live,Bendetta Orlando,1
Propaganda Live,Benedetta Orlando,1
Propaganda Live,Benjamin Clementine,1
Propaganda Live,Blonde Redhead,1
Propaganda Live,Colapesce & Dimartino,1
Propaganda Live,Elio,1
Propaganda Live,Elio Germano,1
Propaganda Live,Enzo Avitabile,1
Propaganda Live,F.F.F.-French Fonck Federation,1
Propaganda Live,Fatoumata Diawara,1
Propaganda Live,Gabriel Garcia Bernal,1
Propaganda Live,Gioele Dix,1
Propaganda Live,Goumar Almoctar ‘Bombino’,1
Propaganda Live,I Hate My Village,1
Propaganda Live,I Tenores di Bitti,1
Propaganda Live,Jacopo Intini,1
Propaganda Live,Johnny Palomba,1
Propaganda Live,Judith Hill,1
Propaganda Live,Kula Shaker,1
Propaganda Live,La Rappresentante di Lista,1
Propaganda Live,Laufey,1
Propaganda Live,Le Karma B,1
Propaganda Live,Loreena Mckennitt,1
Propaganda Live,Mamadou Kouassi,1
Propaganda Live,Marco Bellocchio,1
Propaganda Live,Marco D'Amore,1
Propaganda Live,Marcus Miller,1
Propaganda Live,Margherita Buy,1
Propaganda Live,Margherita Vicario,1
Propaganda Live,Matteo Garrone,1
Propaganda Live,Matteo Mancuso,1
Propaganda Live,Michela Marzano,1
Propaganda Live,Michela Ponzani,1
Propaganda Live,Michele Riondino,1
Propaganda Live,Monica Minardi,1
Propaganda Live,Moustapha Fall,1
Propaganda Live,Nicola Piovani,1
Propaganda Live,Paola Cortellesi,1
Propaganda Live,Paola Turci,1
Propaganda Live,Paolo Giordano,1
Propaganda Live,Paolo Virzì,1
Propaganda Live,Piero Pelù,1
Propaganda Live,Raiz,1
Propaganda Live,Roberto Salis,1
Propaganda Live,Rodrigo D'Erasmo,1
Propaganda Live,Sananda Maitreya,1
Propaganda Live,Sandro Veronesi,1
Propaganda Live,Serena Brancale,1
Propaganda Live,Seydou Sarr,1
Propaganda Live,Subsonica,1
Propaganda Live,Tommaso Fabbri,1
Propaganda Live,Toni Green,1
Propaganda Live,Tosca,1
Propaganda Live,Vincenzo Pirrotta,1
Propaganda Live,Vinicio Marchioni,1
Propaganda Live,Viola Ardone,1
Piazza Pulita,Stefano Massini,23
Piazza Pulita,Renato Mannheimer,20
Piazza Pulita,Francesco Specchia,14
Piazza Pulita,Michele Serra,14
Piazza Pulita,Alessandro Cattaneo,8
Piazza Pulita,Fabio Dragoni,8
Piazza Pulita,Francesco Borgonovo,8
Piazza Pulita,Tito Boeri,8
Piazza Pulita,Antonio Padellaro,6
Piazza Pulita,Marianna Aprile,6
Piazza Pulita,Mario Calabresi,6
Piazza Pulita,Tomaso Montanari,6
Piazza Pulita,Vittoria Baldino,6
Piazza Pulita,Alessandro De Angelis,5
Piazza Pulita,Chiara Appendino,5
Piazza Pulita,Elly Schlein,5
Piazza Pulita,Romano Prodi,5
Piazza Pulita,Alessandra Moretti,4
Piazza Pulita,Alessandra Sardoni,4
Piazza Pulita,Donatella Di Cesare,4
Piazza Pulita,Francesco Giubilei,4
